Synonym,Name,OrphaCode
"Mitochondrial myopathy, encephalopathy, lactic acidosis and stroke-like episodes",MELAS,550
FSH dystrophy,Facioscapulohumeral dystrophy,269
FSHD,Facioscapulohumeral dystrophy,269
Facioscapulohumeral muscular dystrophy,Facioscapulohumeral dystrophy,269
Facioscapulohumeral myopathy,Facioscapulohumeral dystrophy,269
Landouzy-Dejerine dystrophy,Facioscapulohumeral dystrophy,269
Landouzy-Dejerine myopathy,Facioscapulohumeral dystrophy,269
"OBSOLETE: Classic paraneoplastic limbic encephalitis, with or without intracellular antigens",OBSOLETE: Classic paraneoplastic limbic encephalitis,163898
MFM,Myofibrillar myopathy,593
OBSOLETE: Limbic encephalitis with leucine-rich glioma-inactivated 1 antibodies,OBSOLETE: Limbic encephalitis with LGI1 antibodies,163908
Fukuhara syndrome,MERRF,551
Myoclonus epilepsy associated with ragged-red fibres,MERRF,551
NEM,Nemaline myopathy,607
NM,Nemaline myopathy,607
Nemaline rod myopathy,Nemaline myopathy,607
Neurologic Waardenburg-Shah syndrome,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,163746
PCWH,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,163746
WS4 plus,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,163746
Paramyotonia congenita,Paramyotonia congenita of Von Eulenburg,684
Myotonic dystrophy type 1,Steinert myotonic dystrophy,273
Steinert disease,Steinert myotonic dystrophy,273
LPP,Pustulosis palmaris et plantaris,163927
Localized pustular psoriasis,Pustulosis palmaris et plantaris,163927
PPP,Pustulosis palmaris et plantaris,163927
Palmoplantar pustulosis,Pustulosis palmaris et plantaris,163927
MICPCH,"X-linked intellectual disability, Najm type",163937
X-linked intellectual disability-microcephaly-pontocerebellar hypoplasia syndrome,"X-linked intellectual disability, Najm type",163937
OBSOLETE: Limbic encephalitis with novel cell membrane antigen antibodies,OBSOLETE: Limbic encephalitis with nCMAgs antibodies,163914
Myotonia congenita,Thomsen and Becker disease,614
PALE,Posttransplant acute limbic encephalitis,163921
X-linked dominant chondrodysplasia-hydrocephaly-microphthalmia syndrome,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",163966
X-linked intellectual disability-microcephaly-testicular failure syndrome,"X-linked intellectual disability, Cilliers type",163971
X-linked intellectual disability-nail dystrophy-seizures syndrome,"X-linked intellectual disability, Nascimento type",163956
"X-linked intellectual disability, Kroes type",X-linked cerebral-cerebellar-coloboma syndrome,163961
AML and myelodysplastic syndromes related to radiation,Acute myeloid leukemia and myelodysplastic syndromes related to radiation,164726
Alpha-galactosidase A deficiency,Fabry disease,324
Anderson-Fabry disease,Fabry disease,324
Angiokeratoma corporis diffusum,Fabry disease,324
Diffuse angiokeratoma,Fabry disease,324
FD,Fabry disease,324
JME,Juvenile myoclonic epilepsy,307
Juvenile myoclonus epilepsy,Juvenile myoclonic epilepsy,307
JAE,Juvenile absence epilepsy,1941
Familial cerebelloretinal angiomatosis,Von Hippel-Lindau disease,892
Lindau disease,Von Hippel-Lindau disease,892
VHL,Von Hippel-Lindau disease,892
Von Hippel-Lindau syndrome,Von Hippel-Lindau disease,892
AR-PKD,Autosomal recessive polycystic kidney disease,731
FASPS,Familial advanced sleep-phase syndrome,164736
CHARGE association,CHARGE syndrome,138
Coloboma-heart defects-atresia choanae-retardation of growth and development-genitourinary problems-ear abnormalities syndrome,CHARGE syndrome,138
Hall-Hittner syndrome,CHARGE syndrome,138
MFS,Marfan syndrome,558
ALS,Amyotrophic lateral sclerosis,803
Charcot disease,Amyotrophic lateral sclerosis,803
Lou Gehrig disease,Amyotrophic lateral sclerosis,803
Louis-Bar syndrome,Ataxia-telangiectasia,100
Colorectal adenomatous polyposis,Familial adenomatous polyposis,733
FAP,Familial adenomatous polyposis,733
Familial polyposis coli,Familial adenomatous polyposis,733
Huntington chorea,Huntington disease,399
Traumatic myiasis,Wound myiasis,165955
EPM2,Lafora disease,501
PME type 2,Lafora disease,501
Progressive myoclonic epilepsy type 2,Lafora disease,501
Progressive myoclonus epilepsy type 2,Lafora disease,501
Trisomy 21,Down syndrome,870
Arylsulfatase A deficiency,Metachromatic leukodystrophy,512
MLD,Metachromatic leukodystrophy,512
Multiple epiphyseal dysplasia-myopia-deafness syndrome,"Multiple epiphyseal dysplasia, Beighton type",166011
Multiple epiphyseal dysplasia-myopia-hearing loss syndrome,"Multiple epiphyseal dysplasia, Beighton type",166011
22q11DS,22q11.2 deletion syndrome,567
CATCH 22,22q11.2 deletion syndrome,567
Cayler cardiofacial syndrome,22q11.2 deletion syndrome,567
Conotruncal anomaly face syndrome,22q11.2 deletion syndrome,567
DiGeorge sequence,22q11.2 deletion syndrome,567
DiGeorge syndrome,22q11.2 deletion syndrome,567
Microdeletion 22q11.2,22q11.2 deletion syndrome,567
Monosomy 22q11,22q11.2 deletion syndrome,567
Sedlackova syndrome,22q11.2 deletion syndrome,567
Shprintzen syndrome,22q11.2 deletion syndrome,567
Takao syndrome,22q11.2 deletion syndrome,567
Velocardiofacial syndrome,22q11.2 deletion syndrome,567
Multiple epiphyseal dysplasia with Robin phenotype,"Multiple epiphyseal dysplasia, Lowry type",166016
PRTH,Pituitary resistance to thyroid hormone,165994
Selective pituitary resistance to thyroid hormone,Pituitary resistance to thyroid hormone,165994
Disseminated lupus erythematosus,Systemic lupus erythematosus,536
SLE,Systemic lupus erythematosus,536
Lowe disease,Oculocerebrorenal syndrome of Lowe,534
Lowe oculo-cerebro-renal dystrophy,Oculocerebrorenal syndrome of Lowe,534
Lowe oculo-cerebro-renal syndrome,Oculocerebrorenal syndrome of Lowe,534
Lowe oculocerebrorenal dystrophy,Oculocerebrorenal syndrome of Lowe,534
Lowe syndrome,Oculocerebrorenal syndrome of Lowe,534
OCRL,Oculocerebrorenal syndrome of Lowe,534
"Phosphatidylinositol 4,5-biphosphate 5-phosphatase deficiency",Oculocerebrorenal syndrome of Lowe,534
"Hyperinsulinemic hypoglycemia, diazoxide-resistant diffuse form",Diazoxide-resistant diffuse hyperinsulinism,165988
EIHI,Exercise-induced hyperinsulinism,165991
Exercise-induced hyperinsulinemic hypoglycemia,Exercise-induced hyperinsulinism,165991
Hyperinsulinism due to SLC16A1 deficiency,Exercise-induced hyperinsulinism,165991
Hyperinsulinism due to monocarboxylate transporter 1 deficiency,Exercise-induced hyperinsulinism,165991
MEN1,Multiple endocrine neoplasia type 1,652
Wermer syndrome,Multiple endocrine neoplasia type 1,652
"Hyperinsulinemic hypoglycemia, diazoxide-sensitive diffuse form",Diazoxide-sensitive diffuse hyperinsulinism,165985
FRAXA syndrome,Fragile X syndrome,908
FXS,Fragile X syndrome,908
FraX syndrome,Fragile X syndrome,908
Martin-Bell syndrome,Fragile X syndrome,908
Acute rheumatic fever,Rheumatic fever,3099
Prader-Labhart-Willi syndrome,Prader-Willi syndrome,739
BTK-deficiency,X-linked agammaglobulinemia,47
Bruton type agammaglobulinemia,X-linked agammaglobulinemia,47
Hunter syndrome,Mucopolysaccharidosis type 2,580
Iduronate 2-sulfatase deficiency,Mucopolysaccharidosis type 2,580
MPS2,Mucopolysaccharidosis type 2,580
MPSII,Mucopolysaccharidosis type 2,580
Mucopolysaccharidosis type II,Mucopolysaccharidosis type 2,580
Alpha-L-iduronidase deficiency,Mucopolysaccharidosis type 1,579
MPS1,Mucopolysaccharidosis type 1,579
MPSI,Mucopolysaccharidosis type 1,579
Mucopolysaccharidosis type I,Mucopolysaccharidosis type 1,579
Hepatolenticular degeneration,Wilson disease,905
Brain malformation due to abnormal neuronal migration,Non-syndromic cerebral malformation due to abnormal neuronal migration,163209
X-linked juvenile retinoschisis,X-linked retinoschisis,792
XLRS,X-linked retinoschisis,792
Conductive deafness with stapes fixation,X-linked mixed deafness with perilymphatic gusher,383
DFNX2,X-linked mixed deafness with perilymphatic gusher,383
Nance deafness,X-linked mixed deafness with perilymphatic gusher,383
X-linked deafness type 2,X-linked mixed deafness with perilymphatic gusher,383
X-linked mixed conductive and neurosensory deafness,X-linked mixed deafness with perilymphatic gusher,383
X-linked mixed conductive and neurosensory hearing loss,X-linked mixed deafness with perilymphatic gusher,383
X-linked mixed conductive and sensorineural deafness,X-linked mixed deafness with perilymphatic gusher,383
X-linked mixed conductive and sensorineural hearing loss,X-linked mixed deafness with perilymphatic gusher,383
X-linked stapes gusher syndrome,X-linked mixed deafness with perilymphatic gusher,383
Fundus flavimaculatus,Stargardt disease,827
Stargardt 1,Stargardt disease,827
Eczema-thrombocytopenia-immunodeficiency syndrome,Wiskott-Aldrich syndrome,906
WAS,Wiskott-Aldrich syndrome,906
Deletion 7q11.23,Williams syndrome,904
Monosomy 7q11.23,Williams syndrome,904
Williams-Beuren syndrome,Williams syndrome,904
OBSOLETE: Apertura pyriformis with holoprosencephaly,OBSOLETE: Congenital nasal pyriform aperture stenosis with holoprosencephaly,162521
4p- syndrome,Wolf-Hirschhorn syndrome,280
Distal deletion 4p,Wolf-Hirschhorn syndrome,280
Distal monosomy 4p,Wolf-Hirschhorn syndrome,280
Telomeric deletion 4p,Wolf-Hirschhorn syndrome,280
Isolated apertura pyriformis stenosis,Isolated congenital nasal pyriform aperture stenosis,162516
Isolated nasal pyriform aperture hypoplasia,Isolated congenital nasal pyriform aperture stenosis,162516
AVED,Ataxia with vitamin E deficiency,96
Ataxia with isolated vitamin E deficiency,Ataxia with vitamin E deficiency,96
Familial isolated vitamin E deficiency,Ataxia with vitamin E deficiency,96
Friedreich-like ataxia,Ataxia with vitamin E deficiency,96
Isolated vitamin E deficiency,Ataxia with vitamin E deficiency,96
Congenital auditory ossicle malformation without external ear abnormality,Isolated congenital auditory ossicle malformation,162526
DRPLA,Dentatorubral pallidoluysian atrophy,101
Dentatorubropallidoluysian atrophy,Dentatorubral pallidoluysian atrophy,101
Naito-Oyanagi disease,Dentatorubral pallidoluysian atrophy,101
Broad thumb-hallux syndrome,Rubinstein-Taybi syndrome,783
Broad thumbs-halluces syndrome,Rubinstein-Taybi syndrome,783
"Spondyloepiphyseal dysplasia, Nishimura type",Spondyloepiphyseal dysplasia-craniosynostosis-cleft palate-cataracts-intellectual disability syndrome,163649
Congenital IGHD,Non-acquired isolated growth hormone deficiency,631
Congenital isolated GH deficiency,Non-acquired isolated growth hormone deficiency,631
Congenital isolated growth hormone deficiency,Non-acquired isolated growth hormone deficiency,631
SCIDX1,T-B+ severe combined immunodeficiency due to gamma chain deficiency,276
T-B+ SCID due to gamma chain deficiency,T-B+ severe combined immunodeficiency due to gamma chain deficiency,276
"T-B+ severe combined immunodeficiency, X-linked",T-B+ severe combined immunodeficiency due to gamma chain deficiency,276
SED-BDS,Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome,163654
"Spondyloepiphyseal dysplasia, Cantu type",Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome,163654
Tattoo dysplasia,Spondyloepiphyseal dysplasia-brachydactyly-speech disorder syndrome,163654
SBMA,Kennedy disease,481
SMAX1,Kennedy disease,481
X-linked BSMA,Kennedy disease,481
X-linked bulbospinal amyotrophy,Kennedy disease,481
X-linked bulbospinal muscular atrophy,Kennedy disease,481
X-linked spinal and bulbar muscular atrophy,Kennedy disease,481
OCT deficiency,Ornithine transcarbamylase deficiency,664
OTC deficiency,Ornithine transcarbamylase deficiency,664
Ornithine carbamoyltransferase deficiency,Ornithine transcarbamylase deficiency,664
Spondyloepiphyseal dysplasia-myopia-sensorineural deafness syndrome,"Spondyloepiphyseal dysplasia, MacDermot type",163668
Spondyloepiphyseal dysplasia-myopia-sensorineural hearing loss syndrome,"Spondyloepiphyseal dysplasia, MacDermot type",163668
Spondyloepiphyseal dysplasia-punctate corneal dystrophy syndrome,"Spondyloepiphyseal dysplasia, Byers type",163673
CBS-deficient HCU,Homocystinuria due to cystathionine beta-synthase deficiency,394
Cystathionine beta-synthase deficiency,Homocystinuria due to cystathionine beta-synthase deficiency,394
Cystathionine beta-synthase-deficient homocystinuria,Homocystinuria due to cystathionine beta-synthase deficiency,394
Homocystinuria due to CBS deficiency,Homocystinuria due to cystathionine beta-synthase deficiency,394
Donohue syndrome,Leprechaunism,508
HPP,Hypophosphatasia,436
Phosphoethanolaminuria,Hypophosphatasia,436
Rathbun disease,Hypophosphatasia,436
Alpha-thalassemia hydrops fetalis,Hb Bart's hydrops fetalis,163596
Alpha-thalassemia major,Hb Bart's hydrops fetalis,163596
Hemoglobin Bart's hydrops fetalis,Hb Bart's hydrops fetalis,163596
Homozygous alpha0-thalassemia,Hb Bart's hydrops fetalis,163596
LHON,Leber hereditary optic neuropathy,104
Leber optic atrophy,Leber hereditary optic neuropathy,104
Bickers-Adams syndrome,Hydrocephalus with stenosis of the aqueduct of Sylvius,2182
HSAS,Hydrocephalus with stenosis of the aqueduct of Sylvius,2182
X-linked HSAS,Hydrocephalus with stenosis of the aqueduct of Sylvius,2182
X-linked acqueductal stenosis,Hydrocephalus with stenosis of the aqueduct of Sylvius,2182
X-linked hydrocephalus,Hydrocephalus with stenosis of the aqueduct of Sylvius,2182
X-linked hydrocephalus with stenosis of aqueduct of Sylvius,Hydrocephalus with stenosis of the aqueduct of Sylvius,2182
Enchondromatosis Spranger type II,Maffucci syndrome,163634
Multiple Enchondromatosis type II,Maffucci syndrome,163634
"Multiple Enchondromatosis, Maffucci Type",Maffucci syndrome,163634
Benign FMTLE,Benign familial mesial temporal lobe epilepsy,163717
Late-onset infantile spasms,Cryptogenic late-onset epileptic spasms,163708
Nonmosaic NF1,Neurofibromatosis type 1,636
Nonmosaic neurofibromatosis type 1,Neurofibromatosis type 1,636
Von Recklinghausen disease,Neurofibromatosis type 1,636
AERRPS,Febrile infection-related epilepsy syndrome,163703
Acute encephalitis with refractory repetitive partial seizures,Febrile infection-related epilepsy syndrome,163703
Acute non-herpetic encephalitis with severe refractory status epilepticus,Febrile infection-related epilepsy syndrome,163703
DESC syndrome,Febrile infection-related epilepsy syndrome,163703
Devastating epileptic encephalopathy in school-aged children,Febrile infection-related epilepsy syndrome,163703
FIRES,Febrile infection-related epilepsy syndrome,163703
Fever-induced refractory epileptic encephalopathy in school-aged children,Febrile infection-related epilepsy syndrome,163703
Idiopathic catastrophic epileptic encephalopathy,Febrile infection-related epilepsy syndrome,163703
Severe refractory status epilepticus owing to presumed encephalitis,Febrile infection-related epilepsy syndrome,163703
Atrophia bulborum hereditaria,Norrie disease,649
Episkopi blindness,Norrie disease,649
Norrie-Warburg disease,Norrie disease,649
Rolandic epilepsy exercise-induced dystonia,Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,163727
CDFE syndrome,CNTNAP2-related developmental and epileptic encephalopathy,163681
CDFES,CNTNAP2-related developmental and epileptic encephalopathy,163681
CNTNAP2-related DEE,CNTNAP2-related developmental and epileptic encephalopathy,163681
Cortical dysplasia-focal epilepsy syndrome,CNTNAP2-related developmental and epileptic encephalopathy,163681
CGD,Chronic granulomatous disease,379
Chronic septic granulomatosis,Chronic granulomatous disease,379
Atypical X-linked achromatopsia,Blue cone monochromatism,16
Blue cone monochromacy,Blue cone monochromatism,16
"Color blindness, blue monocone monochromatic type",Blue cone monochromatism,16
S cone monochromacy,Blue cone monochromatism,16
S cone monochromatism,Blue cone monochromatism,16
X-linked incomplete achromatopsia,Blue cone monochromatism,16
ASPS,Alveolar soft tissue sarcoma,163699
Alveolar soft part sarcoma,Alveolar soft tissue sarcoma,163699
Neurogenic muscle weakness-ataxia-retinitis pigmentosa syndrome,NARP syndrome,644
Neuropathy-ataxia-retinitis pigmentosa syndrome,NARP syndrome,644
Full NF2,Full NF2-related schwannomatosis,637
Full neurofibromatosis type 2,Full NF2-related schwannomatosis,637
Nonmosaic NF2-related schwannomatosis,Full NF2-related schwannomatosis,637
Nonmosaic neurofibromatosis type 2,Full NF2-related schwannomatosis,637
AMRF,Action myoclonus-renal failure syndrome,163696
EPM4,Action myoclonus-renal failure syndrome,163696
Myoclonus-nephropathy syndrome,Action myoclonus-renal failure syndrome,163696
Progressive myoclonic epilepsy type 4,Action myoclonus-renal failure syndrome,163696
Progressive myoclonus epilepsy type 4,Action myoclonus-renal failure syndrome,163696
Christ-Siemens-Touraine syndrome,X-linked hypohidrotic ectodermal dysplasia,181
X-linked anhidrotic ectodermal dysplasia,X-linked hypohidrotic ectodermal dysplasia,181
XHED,X-linked hypohidrotic ectodermal dysplasia,181
2p21 deletion syndrome,2p21 microdeletion syndrome,163693
