Name,OrphaCode,HPOTerm,HPOFrequency,HPOKor
Aspartylglucosaminuria,93,Wide nasal bridge,Very frequent (99-80%),넓은 콧대
Aspartylglucosaminuria,93,Delayed speech and language development,Very frequent (99-80%),언어 발달 지연
Aspartylglucosaminuria,93,Intellectual disability,Very frequent (99-80%),지적 장애
Aspartylglucosaminuria,93,Umbilical hernia,Very frequent (99-80%),제대 탈장
Aspartylglucosaminuria,93,Abnormal facial shape,Very frequent (99-80%),얼굴 모양 이상
Aspartylglucosaminuria,93,Abnormality of speech or vocalization,Very frequent (99-80%),언어 또는 발성 이상
Aspartylglucosaminuria,93,Scoliosis,Very frequent (99-80%),척추측만증
Aspartylglucosaminuria,93,Short nose,Very frequent (99-80%),짧은 코
Aspartylglucosaminuria,93,Abnormality of amino acid metabolism,Very frequent (99-80%),아미노산 대사 이상
Aspartylglucosaminuria,93,Microtia,Very frequent (99-80%),소이증
Aspartylglucosaminuria,93,Aspartylglucosaminuria,Very frequent (99-80%),아스파틸글루코사미누리아
Aspartylglucosaminuria,93,Thick vermilion border,Very frequent (99-80%),두꺼운 입술 경계
Aspartylglucosaminuria,93,Dyskinesia,Very frequent (99-80%),운동이상증
Aspartylglucosaminuria,93,Large face,Very frequent (99-80%),큰 얼굴
Aspartylglucosaminuria,93,Macroorchidism,Frequent (79-30%),거대고환증
Aspartylglucosaminuria,93,Macroglossia,Frequent (79-30%),거설증
Aspartylglucosaminuria,93,Abnormality of the dentition,Frequent (79-30%),치열 이상
Aspartylglucosaminuria,93,Coarse facial features,Frequent (79-30%),거친 얼굴 특징
Aspartylglucosaminuria,93,Carious teeth,Frequent (79-30%),충치
Aspartylglucosaminuria,93,Pectus carinatum,Frequent (79-30%),새가슴
Aspartylglucosaminuria,93,Thickened calvaria,Frequent (79-30%),두꺼워진 두개골
Aspartylglucosaminuria,93,Abnormal cortical bone morphology,Frequent (79-30%),대뇌 피질 뼈 이상
Aspartylglucosaminuria,93,Anterior beaking of lumbar vertebrae,Frequent (79-30%),요추 앞부리돌기
Aspartylglucosaminuria,93,Abnormal morphology of ulna,Frequent (79-30%),척골의 이상 형태
Aspartylglucosaminuria,93,Inguinal hernia,Occasional (29-5%),서혜부 탈장
Aspartylglucosaminuria,93,Chronic otitis media,Occasional (29-5%),만성 중이염
Aspartylglucosaminuria,93,Atypical behavior,Occasional (29-5%),비정형 행동
Aspartylglucosaminuria,93,Seizure,Occasional (29-5%),발작
Aspartylglucosaminuria,93,Arthritis,Occasional (29-5%),관절염
Aspartylglucosaminuria,93,Joint stiffness,Occasional (29-5%),관절 경직
Aspartylglucosaminuria,93,Splenomegaly,Occasional (29-5%),비장 비대
Aspartylglucosaminuria,93,Pes planus,Occasional (29-5%),평발
Aspartylglucosaminuria,93,Malabsorption,Occasional (29-5%),흡수 장애
Aspartylglucosaminuria,93,Recurrent respiratory infections,Occasional (29-5%),반복적인 호흡기 감염
Aspartylglucosaminuria,93,Hepatomegaly,Occasional (29-5%),간비대
Aspartylglucosaminuria,93,Sleep abnormality,Occasional (29-5%),수면 이상
Aspartylglucosaminuria,93,Delayed skeletal maturation,Occasional (29-5%),골 성숙 지연
Aspartylglucosaminuria,93,Abnormal vertebral morphology,Occasional (29-5%),척추 형태 이상
Aspartylglucosaminuria,93,Beaking of vertebral bodies,Occasional (29-5%),척추체의 부리 모양 돌출
Aspartylglucosaminuria,93,Vascular skin abnormality,Occasional (29-5%),혈관성 피부 이상
Multiple sulfatase deficiency,585,Hydrocephalus,Frequent (79-30%),수두증
Multiple sulfatase deficiency,585,Microcephaly,Occasional (29-5%),소두증
Multiple sulfatase deficiency,585,Macrocephaly,Frequent (79-30%),대두증
Multiple sulfatase deficiency,585,Coarse facial features,Frequent (79-30%),거친 얼굴 특징
Multiple sulfatase deficiency,585,Smooth philtrum,Frequent (79-30%),평평한 인중
Multiple sulfatase deficiency,585,Sensorineural hearing impairment,Frequent (79-30%),감각신경성 청각 장애
Multiple sulfatase deficiency,585,Anteverted nares,Frequent (79-30%),앞쪽을 향한 콧구멍
Multiple sulfatase deficiency,585,Visual impairment,Very frequent (99-80%),시각 장애
Multiple sulfatase deficiency,585,Cataract,Frequent (79-30%),백내장
Multiple sulfatase deficiency,585,Thick eyebrow,Frequent (79-30%),두꺼운 눈썹
Multiple sulfatase deficiency,585,Optic atrophy,Frequent (79-30%),시신경 위축
Multiple sulfatase deficiency,585,Intellectual disability,Very frequent (99-80%),지적 장애
Multiple sulfatase deficiency,585,Seizure,Frequent (79-30%),발작
Multiple sulfatase deficiency,585,Global developmental delay,Very frequent (99-80%),전반적 발달 지연
Multiple sulfatase deficiency,585,Neonatal hypotonia,Very frequent (99-80%),신생아 근긴장 저하
Multiple sulfatase deficiency,585,Joint stiffness,Frequent (79-30%),관절 경직
Multiple sulfatase deficiency,585,Splenomegaly,Very frequent (99-80%),비장 비대
Multiple sulfatase deficiency,585,Coarse hair,Frequent (79-30%),거친 머리카락
Multiple sulfatase deficiency,585,Hepatomegaly,Very frequent (99-80%),간비대
Multiple sulfatase deficiency,585,Developmental regression,Very frequent (99-80%),발달 퇴행
Multiple sulfatase deficiency,585,Abnormality of peripheral nerve conduction,Very frequent (99-80%),말초신경 전도 이상
Multiple sulfatase deficiency,585,Short stature,Frequent (79-30%),단신증
Multiple sulfatase deficiency,585,Depressed nasal bridge,Frequent (79-30%),낮은 콧대
Multiple sulfatase deficiency,585,Rapid neurologic deterioration,Very frequent (99-80%),급격한 신경학적 악화
Multiple sulfatase deficiency,585,Abnormality of retinal pigmentation,Frequent (79-30%),망막 색소 이상
Multiple sulfatase deficiency,585,Corneal opacity,Frequent (79-30%),각막 혼탁
Multiple sulfatase deficiency,585,Ichthyosis,Very frequent (99-80%),어류증
Multiple sulfatase deficiency,585,Mucopolysacchariduria,Very frequent (99-80%),점액다당뇨증
Multiple sulfatase deficiency,585,Broad hallux phalanx,Frequent (79-30%),넓은 엄지발가락 골간
Multiple sulfatase deficiency,585,Broad thumb,Frequent (79-30%),넓은 엄지손가락
Beta-mannosidosis,118,Hearing impairment,Very frequent (99-80%),청각 장애
Beta-mannosidosis,118,Intellectual disability,Very frequent (99-80%),지적 장애
Beta-mannosidosis,118,Seizure,Very frequent (99-80%),발작
Beta-mannosidosis,118,Abnormal facial shape,Very frequent (99-80%),얼굴 모양 이상
Beta-mannosidosis,118,Recurrent respiratory infections,Very frequent (99-80%),반복적인 호흡기 감염
Beta-mannosidosis,118,Hypoplasia of the abdominal wall musculature,Very frequent (99-80%),복벽 근육 저형성
Canavan disease,141,Macrocephaly,Frequent (79-30%),대두증
Canavan disease,141,Hearing impairment,Frequent (79-30%),청각 장애
Canavan disease,141,Visual impairment,Frequent (79-30%),시각 장애
Canavan disease,141,Blindness,Frequent (79-30%),실명
Canavan disease,141,Optic atrophy,Very frequent (99-80%),시신경 위축
Canavan disease,141,Abnormality of visual evoked potentials,Frequent (79-30%),시각 유발 전위 이상
Canavan disease,141,Seizure,Occasional (29-5%),발작
Canavan disease,141,Hypotonia,Frequent (79-30%),근긴장 저하증
Canavan disease,141,Global developmental delay,Very frequent (99-80%),전반적 발달 지연
Canavan disease,141,Hypertonia,Frequent (79-30%),근긴장 항진
Canavan disease,141,Flexion contracture,Occasional (29-5%),굴곡 구축
Canavan disease,141,Gastroesophageal reflux,Frequent (79-30%),위식도 역류
Canavan disease,141,EEG abnormality,Very frequent (99-80%),뇌파 이상
Canavan disease,141,Developmental regression,Occasional (29-5%),발달 퇴행
Canavan disease,141,Reduced consciousness/confusion,Very frequent (99-80%),의식 저하/혼란
Canavan disease,141,Abnormality of retinal pigmentation,Occasional (29-5%),망막 색소 이상
Canavan disease,141,Feeding difficulties in infancy,Very frequent (99-80%),유아기 섭식 곤란
Canavan disease,141,Cognitive impairment,Very frequent (99-80%),인지 장애
Cystinosis,213,Proteinuria,Very frequent (99-80%),단백뇨
Cystinosis,213,Nephropathy,Very frequent (99-80%),신장병증
Cystinosis,213,Renal tubular dysfunction,Very frequent (99-80%),신세뇨관 기능 장애
Cystinosis,213,Photophobia,Very frequent (99-80%),광선 공포증
Cystinosis,213,Hypothyroidism,Very frequent (99-80%),갑상선 기능 저하증
Cystinosis,213,Delayed puberty,Very frequent (99-80%),사춘기 지연
Cystinosis,213,Muscle weakness,Very frequent (99-80%),근력 약화
Cystinosis,213,Failure to thrive,Very frequent (99-80%),성장 실패
Cystinosis,213,Dehydration,Very frequent (99-80%),탈수
Cystinosis,213,Polydipsia,Very frequent (99-80%),다음증
Cystinosis,213,Renal Fanconi syndrome,Very frequent (99-80%),신장 팬코니 증후군
Cystinosis,213,Vomiting,Very frequent (99-80%),구토
Cystinosis,213,Hypophosphatemia,Very frequent (99-80%),저인산혈증
Cystinosis,213,Hypokalemia,Very frequent (99-80%),저칼륨혈증
Cystinosis,213,Myopathy,Very frequent (99-80%),근병증
Cystinosis,213,Aminoaciduria,Very frequent (99-80%),아미노산뇨증
Cystinosis,213,Short stature,Very frequent (99-80%),단신증
Cystinosis,213,Corneal opacity,Very frequent (99-80%),각막 혼탁
Cystinosis,213,Nephrogenic diabetes insipidus,Very frequent (99-80%),신성 요붕증
Cystinosis,213,Fatigue,Very frequent (99-80%),피로
Cystinosis,213,Type I diabetes mellitus,Very frequent (99-80%),제1형 당뇨병
Cystinosis,213,Renal insufficiency,Frequent (79-30%),신부전
Cystinosis,213,Nephrocalcinosis,Frequent (79-30%),신석증
Cystinosis,213,Hypogonadism,Frequent (79-30%),성선기능저하증
Cystinosis,213,Retinopathy,Frequent (79-30%),망막병증
Cystinosis,213,Band keratopathy,Frequent (79-30%),띠 각막병증
Cystinosis,213,Nephrolithiasis,Frequent (79-30%),신장결석
Cystinosis,213,Growth delay,Frequent (79-30%),성장 지연
Cystinosis,213,Splenomegaly,Frequent (79-30%),비장 비대
Cystinosis,213,Metabolic acidosis,Occasional (29-5%),대사성 산증
Cystinosis,213,Hepatomegaly,Frequent (79-30%),간비대
Cystinosis,213,Rickets,Frequent (79-30%),구루병
Cystinosis,213,Osteomalacia,Frequent (79-30%),골연화증
Cystinosis,213,Hypocalcemia,Frequent (79-30%),저칼슘혈증
Cystinosis,213,Glycosuria,Frequent (79-30%),당뇨
Cystinosis,213,Hyperphosphaturia,Frequent (79-30%),인산뇨
Cystinosis,213,Elevated circulating alkaline phosphatase concentration,Frequent (79-30%),순환하는 알칼리성 인산분해효소 농도 상승
Cystinosis,213,EMG: myopathic abnormalities,Frequent (79-30%),근전도: 근병성 이상
Cystinosis,213,Feeding difficulties,Frequent (79-30%),섭식 곤란
Cystinosis,213,Aciduria,Frequent (79-30%),산뇨증
Cystinosis,213,Azoospermia,Occasional (29-5%),무정자증
Cystinosis,213,Visual impairment,Occasional (29-5%),시각 장애
Cystinosis,213,Hypotonia,Occasional (29-5%),근긴장 저하증
Cystinosis,213,"Intellectual disability, mild",Occasional (29-5%),경도의 지적 장애
Cystinosis,213,Gait disturbance,Occasional (29-5%),보행 장애
Cystinosis,213,Portal hypertension,Occasional (29-5%),문맥 고혈압
Cystinosis,213,Exocrine pancreatic insufficiency,Occasional (29-5%),외분비 췌장 기능부전
Cystinosis,213,Fever,Occasional (29-5%),발열
Cystinosis,213,Glucose intolerance,Occasional (29-5%),당불내증
Cystinosis,213,Constipation,Occasional (29-5%),변비
Cystinosis,213,Malabsorption,Occasional (29-5%),흡수 장애
Cystinosis,213,Aphasia,Occasional (29-5%),실어증
Cystinosis,213,Hyponatremia,Occasional (29-5%),저나트륨혈증
Cystinosis,213,Decreased circulating carnitine concentration,Occasional (29-5%),순환 카르니틴 농도 감소
Cystinosis,213,Cranial nerve paralysis,Occasional (29-5%),뇌신경 마비
Cystinosis,213,Abnormality of endocrine pancreas physiology,Occasional (29-5%),내분비 췌장 기능 이상
Fucosidosis,349,Abnormality of the dentition,Occasional (29-5%),치열 이상
Fucosidosis,349,Brachycephaly,Very frequent (99-80%),단두증
Fucosidosis,349,Coarse facial features,Very frequent (99-80%),거친 얼굴 특징
Fucosidosis,349,Hearing impairment,Very frequent (99-80%),청각 장애
Fucosidosis,349,Hypothyroidism,Very frequent (99-80%),갑상선 기능 저하증
Fucosidosis,349,Dysostosis multiplex,Very frequent (99-80%),다발성 골이형성증
Fucosidosis,349,Hyperhidrosis,Very frequent (99-80%),다한증
Fucosidosis,349,Acrocyanosis,Occasional (29-5%),말단 청색증
Fucosidosis,349,Seizure,Frequent (79-30%),발작
Fucosidosis,349,Hypotonia,Frequent (79-30%),근긴장 저하증
Fucosidosis,349,Spasticity,Frequent (79-30%),강직
Fucosidosis,349,Global developmental delay,Very frequent (99-80%),전반적 발달 지연
Fucosidosis,349,Failure to thrive,Very frequent (99-80%),성장 실패
Fucosidosis,349,Abnormality of the nail,Occasional (29-5%),손톱의 이상
Fucosidosis,349,Abnormality of the cardiovascular system,Frequent (79-30%),심혈관계 이상
Fucosidosis,349,Cardiomegaly,Occasional (29-5%),심비대
Fucosidosis,349,Abnormal facial shape,Very frequent (99-80%),얼굴 모양 이상
Fucosidosis,349,Hepatomegaly,Very frequent (99-80%),간비대
Fucosidosis,349,Spastic tetraplegia,Frequent (79-30%),강직성 사지마비
Fucosidosis,349,Kyphosis,Very frequent (99-80%),척추후만증
Fucosidosis,349,Decreased muscle mass,Frequent (79-30%),근육량 감소
Fucosidosis,349,Abnormality of the gallbladder,Frequent (79-30%),담낭 이상
Fucosidosis,349,Generalized hyperkeratosis,Very frequent (99-80%),전신성 각화증
Fucosidosis,349,Abnormal pyramidal sign,Occasional (29-5%),비정상 피라미드 증후
Fucosidosis,349,Corneal opacity,Frequent (79-30%),각막 혼탁
Fucosidosis,349,Mucopolysacchariduria,Very frequent (99-80%),점액다당뇨증
Fucosidosis,349,Anterior beaking of lumbar vertebrae,Very frequent (99-80%),요추 앞부리돌기
Fucosidosis,349,"Intellectual disability, severe",Very frequent (99-80%),중증 지적 장애
Fucosidosis,349,Prominent forehead,Very frequent (99-80%),돌출된 이마
Fucosidosis,349,Vascular skin abnormality,Frequent (79-30%),혈관성 피부 이상
Fucosidosis,349,Lipoatrophy,Very frequent (99-80%),지방위축증
Glycogen storage disease due to glycogen debranching enzyme deficiency,366,Full cheeks,Very frequent (99-80%),풍만한 볼
Glycogen storage disease due to glycogen debranching enzyme deficiency,366,"Intellectual disability, mild",Very frequent (99-80%),경도의 지적 장애
Glycogen storage disease due to glycogen debranching enzyme deficiency,366,Hypoglycemia,Very frequent (99-80%),저혈당증
Glycogen storage disease due to glycogen debranching enzyme deficiency,366,Hypertriglyceridemia,Very frequent (99-80%),고중성지방혈증
Glycogen storage disease due to glycogen debranching enzyme deficiency,366,Immunodeficiency,Very frequent (99-80%),면역결핍
Glycogen storage disease due to glycogen debranching enzyme deficiency,366,Myopathy,Frequent (79-30%),근병증
Glycogen storage disease due to glycogen debranching enzyme deficiency,366,Short stature,Very frequent (99-80%),단신증
Krabbe disease,487,Hearing impairment,Very frequent (99-80%),청각 장애
Krabbe disease,487,Sensorineural hearing impairment,Very frequent (99-80%),감각신경성 청각 장애
Krabbe disease,487,Visual impairment,Very frequent (99-80%),시각 장애
Krabbe disease,487,Atypical behavior,Very frequent (99-80%),비정형 행동
Krabbe disease,487,Sensory neuropathy,Very frequent (99-80%),감각 신경병증
Krabbe disease,487,Abnormal thumb morphology,Very frequent (99-80%),엄지손가락 형태 이상
Krabbe disease,487,Ataxia,Very frequent (99-80%),운동실조
Krabbe disease,487,Spasticity,Very frequent (99-80%),강직
Krabbe disease,487,Global developmental delay,Very frequent (99-80%),전반적 발달 지연
Krabbe disease,487,Abnormality of metabolism/homeostasis,Very frequent (99-80%),대사/항상성 이상
Krabbe disease,487,Cloverleaf skull,Very frequent (99-80%),클로버리프 두개증
Krabbe disease,487,EMG abnormality,Very frequent (99-80%),근전도 이상
Krabbe disease,487,Peripheral neuropathy,Very frequent (99-80%),말초신경병증
Krabbe disease,487,Aplasia/Hypoplasia of the abdominal wall musculature,Very frequent (99-80%),복벽 근육의 발육부전/저형성
Krabbe disease,487,Feeding difficulties,Very frequent (99-80%),섭식 곤란
Krabbe disease,487,Reduced galactocerebrosidase activity,Very frequent (99-80%),갈락토세레브로시다제 활성 감소
Krabbe disease,487,Irritability,Frequent (79-30%),과민성
Krabbe disease,487,Seizure,Frequent (79-30%),발작
Krabbe disease,487,Gait disturbance,Frequent (79-30%),보행 장애
Krabbe disease,487,Failure to thrive,Frequent (79-30%),성장 실패
Krabbe disease,487,Fever,Frequent (79-30%),발열
Krabbe disease,487,Vomiting,Frequent (79-30%),구토
Krabbe disease,487,Generalized myoclonic seizure,Frequent (79-30%),전신성 근간대발작
Krabbe disease,487,Recurrent respiratory infections,Frequent (79-30%),반복적인 호흡기 감염
Krabbe disease,487,Spastic paraparesis,Frequent (79-30%),강직성 하반신마비
Krabbe disease,487,Developmental regression,Frequent (79-30%),발달 퇴행
Krabbe disease,487,Abnormality of peripheral nerve conduction,Frequent (79-30%),말초신경 전도 이상
Krabbe disease,487,Hemiplegia/hemiparesis,Frequent (79-30%),편마비/편측부전마비
Krabbe disease,487,Hyperpyrexia,Frequent (79-30%),고열증
Krabbe disease,487,Urinary incontinence,Occasional (29-5%),요실금
Krabbe disease,487,Blindness,Occasional (29-5%),실명
Krabbe disease,487,Optic atrophy,Occasional (29-5%),시신경 위축
Krabbe disease,487,Hand clenching,Occasional (29-5%),손을 쥐고 있음
Krabbe disease,487,Hyporeflexia,Occasional (29-5%),저반사
Krabbe disease,487,Muscle weakness,Occasional (29-5%),근력 약화
Krabbe disease,487,Myoclonus,Occasional (29-5%),간대성 근경련
Krabbe disease,487,Pes cavus,Occasional (29-5%),요족
Krabbe disease,487,Weight loss,Occasional (29-5%),체중 감소
Krabbe disease,487,Opisthotonus,Occasional (29-5%),후궁반장
Krabbe disease,487,Clumsiness,Occasional (29-5%),서투름
Krabbe disease,487,Difficulty walking,Occasional (29-5%),보행 곤란
Krabbe disease,487,Frequent falls,Occasional (29-5%),잦은 낙상
Krabbe disease,487,Poor head control,Occasional (29-5%),머리 조절 부전
Krabbe disease,487,Tetraplegia,Occasional (29-5%),사지마비
Krabbe disease,487,Respiratory failure,Occasional (29-5%),호흡부전
Krabbe disease,487,Increased CSF protein concentration,Occasional (29-5%),뇌척수액 단백질 농도 증가
Krabbe disease,487,Decerebrate rigidity,Occasional (29-5%),제뇌강직
Krabbe disease,487,Slow pupillary light response,Occasional (29-5%),느린 동공 빛 반응
Krabbe disease,487,Erectile dysfunction,Occasional (29-5%),발기부전
Krabbe disease,487,Hyperesthesia,Occasional (29-5%),감각과민증
Glycogen storage disease due to muscle phosphofructokinase deficiency,371,Muscle weakness,Frequent (79-30%),근력 약화
Glycogen storage disease due to muscle phosphofructokinase deficiency,371,Anemia,Very frequent (99-80%),빈혈
Glycogen storage disease due to muscle phosphofructokinase deficiency,371,Hyperuricemia,Frequent (79-30%),고요산혈증
Glycogen storage disease due to muscle phosphofructokinase deficiency,371,Myotonia,Very frequent (99-80%),근긴장증
Glycogen storage disease due to muscle phosphofructokinase deficiency,371,Skeletal muscle atrophy,Frequent (79-30%),골격근 위축
Glycogen storage disease due to muscle phosphofructokinase deficiency,371,Increased muscle glycogen content,Very frequent (99-80%),근육 글리코겐 함량 증가
Mucopolysaccharidosis type 6,583,Thick lower lip vermilion,Very frequent (99-80%),두꺼운 하순 경계
Mucopolysaccharidosis type 6,583,Sinusitis,Very frequent (99-80%),부비동염
Mucopolysaccharidosis type 6,583,Coarse facial features,Very frequent (99-80%),거친 얼굴 특징
Mucopolysaccharidosis type 6,583,Chronic otitis media,Very frequent (99-80%),만성 중이염
Mucopolysaccharidosis type 6,583,Abnormal metaphysis morphology,Very frequent (99-80%),골단이상형태
Mucopolysaccharidosis type 6,583,Joint stiffness,Very frequent (99-80%),관절 경직
Mucopolysaccharidosis type 6,583,Failure to thrive,Very frequent (99-80%),성장 실패
Mucopolysaccharidosis type 6,583,Epiphyseal dysplasia,Very frequent (99-80%),골단이형성증
